requirement,sub_requirement,language,control_description,code_example,label,score,reason
6,6.2,Python,Secure configuration management,DB_PASSWORD = 'admin123'  # hardcoded secret,Non-Compliant,1,Implementation violates PCI DSS Requirement 6 secure coding requirements.
6,6.2,Java,Secure configuration management,"String dbPassword = ""admin123"";",Non-Compliant,1,Implementation violates PCI DSS Requirement 6 secure coding requirements.
6,6.2,NodeJS,Secure configuration management,const dbPassword = 'admin123';,Non-Compliant,1,Implementation violates PCI DSS Requirement 6 secure coding requirements.
6,6.2,Python,Secure configuration management,DB_PASSWORD = 'admin123'  # hardcoded secret,Non-Compliant,1,Implementation violates PCI DSS Requirement 6 secure coding requirements.
6,6.2,Java,Secure configuration management,"String dbPassword = ""admin123"";",Non-Compliant,1,Implementation violates PCI DSS Requirement 6 secure coding requirements.
6,6.2,NodeJS,Secure configuration management,const dbPassword = 'admin123';,Non-Compliant,1,Implementation violates PCI DSS Requirement 6 secure coding requirements.
6,6.2,Python,Secure configuration management,DB_PASSWORD = 'admin123'  # hardcoded secret,Non-Compliant,1,Implementation violates PCI DSS Requirement 6 secure coding requirements.
6,6.2,Java,Secure configuration management,"String dbPassword = ""admin123"";",Non-Compliant,1,Implementation violates PCI DSS Requirement 6 secure coding requirements.
6,6.2,NodeJS,Secure configuration management,const dbPassword = 'admin123';,Non-Compliant,1,Implementation violates PCI DSS Requirement 6 secure coding requirements.
6,6.2,Python,Secure configuration management,DB_PASSWORD = 'admin123'  # hardcoded secret,Non-Compliant,1,Implementation violates PCI DSS Requirement 6 secure coding requirements.
6,6.2,Java,Secure configuration management,"String dbPassword = ""admin123"";",Non-Compliant,1,Implementation violates PCI DSS Requirement 6 secure coding requirements.
6,6.2,NodeJS,Secure configuration management,const dbPassword = 'admin123';,Non-Compliant,1,Implementation violates PCI DSS Requirement 6 secure coding requirements.
6,6.2,Python,Secure configuration management,DB_PASSWORD = 'admin123'  # hardcoded secret,Non-Compliant,1,Implementation violates PCI DSS Requirement 6 secure coding requirements.
6,6.2,Java,Secure configuration management,"String dbPassword = ""admin123"";",Non-Compliant,1,Implementation violates PCI DSS Requirement 6 secure coding requirements.
6,6.2,NodeJS,Secure configuration management,const dbPassword = 'admin123';,Non-Compliant,1,Implementation violates PCI DSS Requirement 6 secure coding requirements.
6,6.2,Python,Secure configuration management,DB_PASSWORD = 'admin123'  # hardcoded secret,Non-Compliant,1,Implementation violates PCI DSS Requirement 6 secure coding requirements.
6,6.2,Java,Secure configuration management,"String dbPassword = ""admin123"";",Non-Compliant,1,Implementation violates PCI DSS Requirement 6 secure coding requirements.
6,6.3.2,Git,Code review before deployment,"git commit -m ""quick fix"" && git push origin main",Non-Compliant,1,Implementation violates PCI DSS Requirement 6 secure coding requirements.
6,6.3.2,YAML,Code review before deployment,"deploy:
  stage: deploy
  script: deploy.sh",Non-Compliant,1,Implementation violates PCI DSS Requirement 6 secure coding requirements.
